texts,labels
никто кроме самого финчера не знает почему спустя столько лет молчания он взялся именно за этот проект чем привлёк его именно этот сценарий но доподлинно ясно что мастер снова ничуть не изменил себе сотворив из чужого текста а финчер никогда не пишет сам то что мог снять только он «зодиак» в этом смысле — даже куда более финчеровское кино чем та же «игра» и уж тем более «комната страха» да история именного маньяка из санфранциско не поколенческий лозунг каким был «бойцовский клуб» и не настолько психологический триллер каким был «7емь» но вряд ли найдётся на свете хоть один человек который бы смог поспорить что таким каким он получился в итоге его мог сделать только сам финчер httpwwwkinokadrruarticles20070805zodiacshtml,7
когда выходил первый фильм споры шли вокруг того что это — doom 2 ещё одна «обитель зла» русские «чужие» или в общей постановке без конкретики наш ли это ответ голливуду и если да то насколько наш и насколько ответ нежданный никем «постдозорный» всплеск жанрового кино рано или поздно должен был вернуться минуя хорроры экшнтриллеры военные драмы фэнтэзи «городские» и «славянские» обратно к фантастике которой у нас казалось уже не будет никогда httpwwwkinokadrruarticles20070401p78shtml,6
вслед за голливудскими хрониками в игроке миром высокой моды в высокой моде и бытом английской аристократии в госфорд парке роберт олтман режиссер энциклопедической широты интересов обратился к будням кантриэстрады поющий голос прерий реально существующее музыкальное ревю с разбитными и трогательными песенками в 1987 году передача временно прекратила свое существование фильм рассказ о ее последних днях одетые в ковбойские наряды мужчины и женщины среди которых вуди харрельсон кевин кляйн мерил стрип лили томлин и творческий коллектив настоящего голоса прерий отдают последние долги любимой музыке вспоминают былое пускают слезу отпускают скабрезные шуточки и конечно же поют из закулисной жизни компаньонов по такому на редкость занудному жанру как кантри иной режиссер не удержался бы и сотворил пошловатую но притягательную драму но главная особенность олтмана в том что ему никогда не изменял вкус оттого он щедрой рукой рассыпает по кадру влюбленности обиды и даже смерти оставляя их при этом лишь частью тщательно вырисованного кантриколорита этот колорит настолько безукоризнен что даже бродящий по студии ангел смерти в виде разодетой в белое блондинки с химией и серьезным именем асфодель выглядит вполне закономерной частью работы на радио это как если бы в углу картины айвазовского было нарисовано морское чудище и никто не обращал на него особого внимания httpwwwtimeoutrutextfilm32858,9
вслед за голливудскими хрониками в игроке миром высокой моды в высокой моде и бытом английской аристократии в госфорд парке роберт олтман режиссер энциклопедической широты интересов обратился к будням кантриэстрады поющий голос прерий реально существующее музыкальное ревю с разбитными и трогательными песенками в 1987 году передача временно прекратила свое существование фильм рассказ о ее последних днях одетые в ковбойские наряды мужчины и женщины среди которых вуди харрельсон кевин кляйн мерил стрип лили томлин и творческий коллектив настоящего голоса прерий отдают последние долги любимой музыке вспоминают былое пускают слезу отпускают скабрезные шуточки и конечно же поют из закулисной жизни компаньонов по такому на редкость занудному жанру как кантри иной режиссер не удержался бы и сотворил пошловатую но притягательную драму но главная особенность олтмана в том что ему никогда не изменял вкус оттого он щедрой рукой рассыпает по кадру влюбленности обиды и даже смерти оставляя их при этом лишь частью тщательно вырисованного кантриколорита этот колорит настолько безукоризнен что даже бродящий по студии ангел смерти в виде разодетой в белое блондинки с химией и серьезным именем асфодель выглядит вполне закономерной частью работы на радио это как если бы в углу картины айвазовского было нарисовано морское чудище и никто не обращал на него особого внимания httppolitruculture20070125ddmoviehtml,7
прокатная история самого скандального и спорного фильма алексея балабанова груз 200 заканчивается но 19 июля тему давления репрессивного режима на отдельного человека подхватывает самый знаменитый европейский фильм 2006 года жизнь других флориана хенкеля фон доннерсмарка наш и немецкий режиссеры словно сговорившись выбрали временем действия 1984 год однако их приветы оруэллу получились принципиально разными для жизни других немецкий режиссердебютант написал сценарий сам как и наш балабанов — для груза 200 но если алексей октябринович рассказывает что ничего не придумал а многому лично был свидетелем то фон доннерсмарк писал о стране в которой никогда не жил — лишь изредка бывал в детстве httpwwwizvestiaruculturearticle3106284,8
в прошлом трюкач а ныне — франтоватый бездельник по прозвищу каскадер майк курт рассел рассекает по техасским дорогам на усовершенствованной «смертоустойчивой» тачке которой любит убивать девушек сначала достается наивной блондинке роуз макгоуэн потом под колеса попадают гламурные барышни с местной радиостанции чье обезоруживающе тупое щебетание заполняет собой всю первую половину фильма следующие на очереди — четыре отвязные девицы казалось бы мало отличающиеся от своих предшественниц но здесь история делает внезапный разворот — и вот уже удивительная зои белл дублерша умы турман в «убить билла» выдает немыслимые акробатические номера на капоте мчащегося автомобиля а игра майка в кошкимышки превращается в поединок профессионалов поверхностный зритель распознает в фильме лишь пародию на классику мусорного жанра оформленную в нехитрый сюжет «молодец против овец» и наверняка обвинит режиссера в кризисе идей к тому же «доказательство» заполнено такой душераздирающей сентиментальностью и населено настолько живыми и теплыми персонажами что заставляет вспомнить совсем не «бешеных псов» а сильно не любимую народом «джеки браун» все герои — и тупенькие клуши и бойбабы и уж конечно сам неотразимый фраер майк — вызывают искреннюю симпатию и сочувствие да и сама структура этого кино слишком необычна чтобы его можно было счесть просто посвящением автомобильному кино 70х ну где это видано чтобы большую часть фильма про серийного убийцу и тачки занимали разговоры а сами гонки снимались с издевательскими косяками вроде «доджа» втискивающегося в кадр так плотно что не остается даже мелькающего фона и ощущения скорости но конечно тарантино никогда не стал бы культовым режиссером поколения 90х если бы суть его картин сводилась к отрезанным ушам или фонтанам бутафорской крови оставаясь верным себе жонглируя шаблонами и цитатами из классики вроде «быстрая кошечка убей убей» расса майера «точки исчезновения» ричарда сарафьяна или какие там еще мотивчики перепевает тарантино он снова маскирует вечную идею о победе героя над смертью под не совсем обычный жанровый фильм зрителю предлагается самому решать какая из интерпретаций истории о волке и козлятах ему ближе ктото возможно сочтет «доказательство» лишь байкой о случае на дороге ктото воспримет фильм как феминистский манифест ктото — как абсурдистскую разговорную комедию большое не такто просто охватить одним взглядом httpwwwtimeoutrutextfilm74247,8
георг дрейман обласканный режимом гдр драматург получает на день рождения от друга подарок — ноты «сонаты о хорошем человеке» вскоре злые коммунисты доводят этого друга писателядиссидента до самоубийства и потрясенный георг играет сонату в своей пустой квартире даже не догадываясь что она давно поставлена на прослушку не подозревает дрейман и о том что под действием волшебной силы искусства духовно перерождается сидящий под полом гэбэшник капитан визлер по лицу штатного сотрудника «штази» текут слезы он осознает убогость своего существования проникается идеями свободы и начинает полностью игнорировать служебные обязанности визлер фантазирует в донесениях и даже сочиняет за дреймана который по ночам выстукивает на машинке письма в свободную западную прессу пьесу о ленине правда однако выплывает — лицемерадраматурга сдает органам любовницаактриса потом раскаявшись неверная бросается под грузовик и георг рыдает под душераздирающую музыку но не за эти долгие минуты необузданной сентиментальности «жизни других» дали «оскар» и 7 национальных кинонаград фильм флориана хенкеля фон доннерсмарка поди выговори — это актуальное кино переосмысление живого прошлого титр сообщающий что в 1984 году в гдр было 100 000 агентов «штази» вклеен туда неспроста ужасы советского режима аресты пытки и стукачество не просто поставлены страшным декоративным фоном как мордор во «властелине колец» это настоящее политическое заявление выпад против «остальгии» до сих пор разделяющей невидимой стеной население новой германии и вся америка — и уж тем более европа — смотрела «жизнь других» именно как памфлет а от памфлета ждешь претензий по существу и какойникакой правды но 36летний уроженец фрг доннерсмарк нафантазировал настоящую оруэлловскую океанию даром что год там стоит 1984й мир гдр у него сер и печален будто в нем никогда не восходит солнце и не смеются дети сексом там занимаются лишь избранные страшно далекие от народа в обществе якобы тотальной слежки люди рассказывают незнакомцам веселые политические анекдоты сидя в буфете здания госбезопасности железные вроде бы сотрудники органов жалобно восклицают «зачем вы его пытаете это же бесчеловечно» в итоге доннерсмарку решительно невозможно поверить и пафосная завиральность в духе советского агитпропа валит даже мелодраматическую линию казалось бы приторную до неуязвимости конечно нет сомнений что найдутся те кто заплачет и над «лениным в октябре» но вот этих слез стоило бы постыдиться httpwwwtimeoutrutextfilm78162,5
чудеса — обязательное условия канонизации католического святого в мужском монастыре который в xvi веке дал польше сразу троих святых происходит нечто весьма удивительное трое монахов начинают сладостно благоухать опираясь на древнее предсказание настоятель ожидает новых чудес и новой святой троицы тем временем для реставрации икон сюда прибывает художница которая горит желанием химическим путем воссоздать чудесный запах монахов снятый не без оглядки на традиции магического реализма фильм поднимает не только вопросы веры но и касается некоторых в сущности безделиц которые составляют суть человеческой жизни но почти никогда не становятся предметом исследования в искусстве например влюбляемся ли мы в человека или только в мимолетный запах его кожи в собственное настроение в ту минуту когда встретили того кого по привычке назовем своим избранником всерьез увлечься вслед за авторами и героями картины этими вопросами особенно легко поскольку повествование ведется от лица пятилетней дочери любопытной httpwwwafisharureviewmovies155398,7
посмотрела фильм уже nный раз дух захватывает с одной стороны фильм полон стандартных романтических штампов все те же влюбленные из разных сословий испытания счастливый конец и отсутствие отрицательных персонажей нежеланный жених порыцарски убирается со сцены успев пожелать влюбленным всего хорошего словом типичная приторная голливудская мелодрама но с другой стороны в искусстве оригинальность сюжета никогда не играла ведущую роль одни и те же истории ложили в основу как бульварного чтива так и подлинных произведений искусства дело не в сюжете а в обработке к примеру храброе сердце даже в первый раз смотришь с предчувствием того что будет победа при стирлинге поражение при фалькирке и снова победа при баннокберне что уоллеса будут казнить а брюс перейдет на сторону хороших да еще и на пальцах можно пересчитать все неточности и ошибки ну и что все равно смотришь на одном дыхании потому что режиссер оператор актеры и композитор убеждают тебя что все понастоящему так и в случае с дневником памяти с первого кадра окунаешься в атмосферу фильма проникаешься сочувствием к влюбленным и переживаешь хватит ли у них душевных сил и зрелости перенести свалившиеся на голову испытания поднимется ли ной после трагедии хватит ли у элли сил пойти своим путем а не сидеть в родительском кармане наконец что это за старички да и с философской нагрузкой создатели фильма потрудились на славу и в итоге вышел восхитительный фильм о любви в общем если вы любите хорошее кино о любви очень советую помимо потрясающего сюжета я просто не могу не отметить великолепной подборки актёров райан гослинг и рэйчел макадамс сыграли просто потрясающе жаль что такая любовь бывает только в кино эхх,10
красиво глубоко жестоко и еще никогда не делайте выбор между человеком и долгом в пользу долга с findirectorr,9
лучший фильм из когдалибо созданных потрясающая история жизни любви искусства восхитительная игра актеров гениальная операторская работа смотрела фильм уже дважды с перерывом в 15 года и поняла что мне запомнилось все до мельчайших деталей я жила и дышала этим фильмом с первой минуты просмотра это удивительное ощущение отступления от биографии в фильме есть но так ли это важно если самое тонкое и чувственное передано так изящно если после него тебя неумолимо влечет узнать постичь ту эпоху увидеть собственными глазами творения художника а при случае отправиться в тоскану и еще обязательно оказаться в парижском кафе ротонда и вдохнуть воздух артистического парижа 20х которым пронизан фильм будто сплетенный из тонких чуть уловимых чувственных образов он не перегружен бесполезными диалогами утомительными сценами и дотошным соблюдением всех достоверных деталей и в то же время какимто волшебным образом рисует саму суть жизни великого мастера его верной жанны и заклятого друга пикассо я увидела не биографию но жизнь мне подумалось что это кино в какойто мере отражает манеру самого художника в конце концов модильяни никогда не стремился к зеркальному отображению жизни и портретному сходству он был живописцем души,10
это единственный фильм который я никогда не удаляю с жесткого диска,10
полный трэш я даже не знаю с чем сравнить такого дебилизма никогда не видела,2
давно не видел такого бреда думал и не увижу уже никогда неизвестно откуда взятая форма спецназовцы ждущие под дверью пока им америкосы ее откроют ключом абсолютно не подходящий главный герой не считая затылка это похоже искореженный русский язык дух игры потерян на 100 очень и очень жалко музыка никакая снято в большинстве случаев паршивенько и неубедительно а ведь можно было сделать хорошо теперь и брэнд хитмана запорот,2
я сначала читал туман смотрел фильм теперь посмотрел комменты никогда мне не понять тех фриков с их цитатами из обыкновенного чуда которые с удовольствием расскажут невидевшему фильм его концовку в супермаркет вас всех прятаться от зомби я не любитель кинга но туман считаю действительно хорошей книгой фильм крепкий и к тексту близок достаточно близок но правило о том что экранизация обычно хуже оригинала работает и здесь поставил импульсивно 9 но на деле 7,9
если вам нравится туалетный юмор и американское зашоренное мировозрение вам сюда меня хватило минут на 20 возможно в оставшееся время фильм шедевр но я уже никогда об этом не узнаю есть гораздо более достойные моего времени фильмы,2
я бы назвала этот фильм унесённые ветром для бедных сюжет поражает своей предсказуемостью и банальностью но это скореекритика в сторону элизабет тэйлор написавшей роман по которому и был снят этот фильм а картинка совершенно диснеевская вылизанная чуть не театральная анимированный лубок никогда раньше не видела в других фильмах актрису сыгравшую роль энджел но её игра взбалмошной самовлюблённой истерички поражает своей откровенной карикатурностью несмотря на всё это лично я досмотрела фильм до конца,3
совет тут давать легко если вам понравились первые две части вам точно понравится третья и наоборот потому что ничего нового худшего или лучшего не внесено кроме разве что документальной съемки в которой даже при статичных сценах оператор дрожит как с похмелья мне такое не понравилось чувства будто я это вижу своими глазами нет лично я так не дрожу когда смотрю на человека ну и мэтт деймон который мне никогда в роли борна особо не нравился по сравнению с ним даже хитмэн живее смотрится,8
да развязка мультипликационной истории совершенно иная нежели в общеизвестной сказке но в результате этого был достигнут потрясающий эффект мультяшная сказка получилась намного глубже и серьезнее канонической несмотря на весь свой юмор и динамичность и такая концовка нисколько не разочаровывает думается и маленьких зрителей тоже кстати если попытаться привязать сказку к реалиям того времени то получается интересная вещь по классике принц женится на бедной девушке даже если допустить что принц из удельного немецкого княжества – далеко не богач то тем не менее брак с бедной служанкой – все же явный мезальянс и интересно как бы они уживались в дальнейшем неравные браки как правило очень осложняют дальнейшие отношения между супругами это утверждение справедливо как для современности так и для давно прошедших времен он – благодетель она – должна вечно бога за него молить что так сказать снизошел и осчастливил и так далее в том же роде мультик просто переполнен удивительно смешными эпизодами • мачеха прикасается пальчиком к чаше весов – и прекрасная принцесса взвизгнув кубарем летит из окошка башни прямо на голову своего принца на самом деле она должна была свесить вниз свою длиннейшую косу держась за которую принц взобрался бы наверх к принцессе • фрида вообщето не прочь немножко порезвиться еще одно прикосновение пальца к весам – и стоящая у колодца красавица лопается как мыльный пузырь принц превращается в лягушку и тут же появляется аист готовый эту лягушку слопать • у эллы очень лихо получается отстреливаться из какогото баллистического механизма от волков нападающих на домик семи гномов «а ты – молодец сколько я ни учил белоснежку – она даже в сарай попасть не могла» – говорит золушке старый гном • принц всегда тщательно следит за своей внешностью вот он спешит на поиски своей прекрасной принцессы золушки и седлает своего белоснежного скакуна как и положено настоящему принцу конь у него конечно белый со светлой гривой которая уложена в точно такую же прическу как и белокурые волосы принца в начале мультфильма сразу же приковывает внимание образ главной злодейки – мачехи по имени фрида замечательно яркий персонаж – далеко не старая сногсшибательная блондинка эдакая стервозная сексбомба декольтированное платье в обтяжку с длинными разрезами вдоль бедер каблук походка осиная талия злобно улыбающееся лицо – все под стать одно другому и очень гармонично так и кажется что она сейчас набросится на вас как разъяренная кошка «…за что я ненавижу золушку не знаю за гордость за то что не знает своего места за то что всему радуется» – откровенно рассуждает она злодеи изображенные в мультике тоже неоднозначны тролли злобные волки и великаны по велению фриды заполонили дворец рик продолжал прислуживать за столами новых «гостей» и волки будучи навеселе пригласили его выпить с ними а ведь никогда прежде никто из гостей не предлагал мне присесть за стол… задумчиво комментирует рик то есть у волков и прочей нечисти есть по крайней мере одно достоинство – отсутствие спеси и демократизм гномы же впрочем как и тролли в западноевропейских сказках никогда не были однозначно отрицательными или положительными действующими лицами и если тролли по большому счету все же выступают на стороне злых сил «злобный тролль» – устойчивое сочетание то с гномами вообще все не так просто если будешь вести себя с ними таким образом что угодишь им – тебе повезло потому что если по какойто случайности или по незнанию совершишь оплошность то они тебе не только не помогут а наоборот подставят напугают и вообще навредят здесь прослеживается явная связь со славянскими сказками и преданиями на память приходят проделки домовых которым не нравится поведение хозяев их отношение к дому и манера ведения домашнего хозяйства домовой даже может погубить хозяина или хозяйку например во сне «домовой душил» – говорят о приснившемся кошмаре после которого трудно отдышаться или лешие которые способны «закрутить» незадачливого путешественника так что он заблудится и не сможет выбраться из леса за то что этот путник както не так вел себя в лесу неуважительно по отношению к лесу и его обитателям или слишком беззаботно фамильярно и не опасливо или даже вообще ни за что просто со скуки и из озорства собственно говоря и домовые и гномы – все это «нечистая сила» при взаимодействии с которой необходимо быть очень осторожным вот так же и наши семь гномов с физиономиями злобных карликов и подозрительными глазками элле просто повезло что она вроде как понравилась им а поначалуто они поспешили обвинить золушку в том что она наверное украла их белоснежку,9
было страшно но я не зажмуривалась слишком интересно непривычная для меня странная ситуация непредсказуемые реакции героев все такие разные интересно изучать на них психологию и еще поражает такое знакомое ощущение что если ты этого не сделашь то больше некому и тогда непонятно откуда появляются решимость и силы и все уже не так страшно а конец фильма сначала не понимаешь почему он такой внезапный и несвоевременный а потом приходит понимание что все позади все закончилось невероятно благополучно но этот день никогда они не смогут забыть он так и будет с ним навсегда фильм мрачный впечатление яркое,8
никогда не предполагала что история любви ромео и джульеты может быть такой чувственной раньше для меня это выглядело как чистое и в большей степени платоническое чувство двух повзрослевших детей а в фильме удалось передать неизмеримую глубину красоту и трагичность настоящей земной любвия весь фильм прорыдала,10
сегодня посмотрела золотой компас фильм понравился и мне и моему десятилетнему ребенку за месяц до просмотра прочла книгу пулмана по которой был снят фильм есть фильмы после просмотра которых не хочется читать книгу и наоборот есть книги после прочтения которых никогда не посмотришь фильм золотой компас не из этого числа именно прочтение книги и затем просмотр фильма дают полное восприятие и понимание всех действий мыслей и идей фильма фильм прекрасен для семейного просмотра и после того как выходишь из кинотеатра еще долго обсуждаешь детали фильма и игру актеров кстати главная героиня играла бесподобно вероятно у девочки большое будущее,9
мило и красиво простая комедия на тему любви мальчикзолушок в светсткой тусовке вместо гадкого утенка старый гадкий селезень которому уже никогда не стать лебедем…смотрибельно,7
очень необычный фильм никогда не смотрел настолько странных фильмов поэтому если сомневаетесь лучше не экспериментировать теперь мои впечатления и вправду чувствуешь жалость к уходящему в прошлое и тем кто в этом прошлом остается и ненавидишь тех кто так стремится это прошое разрушить хотя оно и так еле держится но знаете что главное это то что главные герои сохранили и взяли с собой самую суть сердце душу их мирка это значит что не все потеряно,7
никогда не смотрел мультики про трансформеров и не буду теперь фильм детский и очень примитивный по сюжету в некоторых местах сюжет и логические переходы просто полная глупость и несуразица но спецэффекты интересные поэтому ставлю 6,6
ушлый бухгалтер риелторской компании похожий на свинью и внешностью и убеждениями филип сеймур хоффман предчувствует что его маленькие махинации скоро раскроются и хочет поправить свое финансовое положение занюхав дорожку он звонит младшему братуоболтусу хэнку итэн хоук и предлагает идеальное преступление грабануть застрахованный ювелирный магазин их собственных родителей разумеется с игрушечным пистолетом тихо и без жертв поскольку хэнк не только патологический неудачник но и невообразимый клинический придурок начинаются проколы для верности он подключает к делу знакомого отморозка а тот берет настоящий револьвер в кино очень редки случаи когда большой мастер с возрастом сохраняет не только профессиональную хватку но и чувство времени и вообще адекватность а того что выдает в своем новом фильме 83летний сидни люмет автор «12 разгневанных мужчин» и «собачьего полдня» не бывает почти никогда пятикратно номинированный на «оскар» ни разу не побеждавший и два года назад награжденный «за вклад» режиссер именно сейчас когда уже всем все доказано вышел тряхнуть стариной и сделал один из своих мощнейших фильмов всю дорогу не покидает ощущение будто снимал это пол томас андерсон или еще ктонибудь из американской молодой независимой шпаны типажи актуальны режиссерский взгляд отстраненноироничен и в то же время это тот самый монументальный и неспешный классический голливуд который никому не удастся сымитировать еще один ветеран — альберт финни в роли отца непутевых братьев — достигает дьявольской выразительности одной только гримасой обиженного вкладчика которую он не снимая носит весь фильм,9
